paper_id,paper_citation,category,subcategory,tool,usage
1,"(Adhikari, 2024)",Security,Static Code Security Testing,SonarQube,Used to identify code quality and security issues through static code analysis integrated early in the DevSecOps pipeline.
1,"(Adhikari, 2024)",Security,Software Composition Analysis (SCA),OWASP Dependency-Check,Analyzes project dependencies for publicly disclosed vulnerabilities in included libraries.
1,"(Adhikari, 2024)",Security,Static Code Security Testing,Checkmarx,Commercial SAST solution providing deep code analysis and detailed vulnerability reports in CI/CD pipelines.
1,"(Adhikari, 2024)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,DAST tool for identifying vulnerabilities in running applications; supports automation and integration with DevOps pipelines.
1,"(Adhikari, 2024)",Security,Container Security,Clair,Static vulnerability analyzer for containers; scans container images for known vulnerabilities.
1,"(Adhikari, 2024)",Security,Infrastructure as Code (IaC) Security,Checkov,"IaC scanner for Terraform, CloudFormation, and Kubernetes to detect misconfigurations and security policy violations."
2,"(Akinbolaji et al., 2024)",Analytics & Monitoring,Metrics Collection and Alerting,Prometheus,Used for collecting and querying metrics data from cloud systems and services; supports alerting to detect anomalies proactively.
2,"(Akinbolaji et al., 2024)",Analytics & Monitoring,Visualization and Dashboarding,Grafana,Visualizes metrics data from Prometheus; enables real-time dashboards for observing system performance and health.
2,"(Akinbolaji et al., 2024)",Security,Secret Storage and Access Policies,HashiCorp Vault,Provides secure storage and management of sensitive information such as API keys and passwords in the DevOps pipeline.
3,"(Ambade et al., 2021)",Requirement Engineering & Tracking,Safety and Liveness Validation,RV-SLC,A tool that performs regression validation of safety and liveness constraints on requirement goal models across multiple iterations of the DevOps lifecycle. Integrates with the Plan phase to monitor evolving requirements and compliance with SL-Props.
3,"(Ambade et al., 2021)",Analytics & Monitoring,Requirement Lifecycle Dashboard,RV-SLC Dashboard,"Provides tabular and graphical views to analyze requirement changes, goal model complexity, and evolution of constraints across increments."
4,"(Angara et al., 2020)",Collaboration & Project Management,Agile Project Management,Go/No-Go Decision Algorithm,Naive Bayes-based feasibility classifier for project decision-making before sprint execution using 21 project factors.
4,"(Angara et al., 2020)",Data Management & Mining,Planning Poker,e-Planning Poker,"Effort estimation model using weighted participant scores based on past performance, technical knowledge, collaboration, and domain knowledge."
4,"(Angara et al., 2020)",Analytics & Monitoring,Maturity Analysis,Project Maturity Assessment Tool,"Excel-based tool to compute sprint maturity using metrics like mean, standard deviation, and coefficient of variation across 21 project factors."
4,"(Angara et al., 2020)",Analytics & Monitoring,Sentiment Analysis,Project Sentiment Analysis Tool,Natural Language Opinion (NLO)-based tool to analyze communication sentiment across stakeholders and plot sentiment trends over sprints.
5,"(Antara et al., 2024)",Build & CI/CD,Workflow Orchestration,GitHub Actions,"Provides native automation for CI/CD pipelines using event-driven workflows, enabling tasks like code testing, building, and deployment on GitHub repositories."
5,"(Antara et al., 2024)",Build & CI/CD,Workflow Orchestration,GitLab CI,"Built-in automation for CI/CD processes within GitLab, managing builds, tests, and deployments through `.gitlab-ci.yml` pipeline definitions."
5,"(Antara et al., 2024)",Cloud Infrastructure & IaC,Infrastructure as Code,Terraform,"Enables provisioning and managing infrastructure across cloud providers through declarative configuration files, often integrated in CI/CD workflows."
5,"(Antara et al., 2024)",Cloud Infrastructure & IaC,Infrastructure as Code,Pulumi,"Supports cloud infrastructure automation using general-purpose languages, offering flexibility in defining IaC within cloud CI/CD pipelines."
5,"(Antara et al., 2024)",Build & CI/CD,Continuous Deployment,ArgoCD,"Declarative GitOps-based continuous delivery tool for Kubernetes, used for synchronizing application state with the Git repository."
5,"(Antara et al., 2024)",Containerization & Orchestration,Container Orchestration,Kubernetes,"Automates container deployment, scaling, and management; integrates with tools like Argo CD and Terraform in cloud-native CI/CD workflows."
6,"(Awad et al., 2025)",Cloud Infrastructure & IaC,Automated Tool Selection,VeriFogOps,Framework for automatically selecting DevOps tools and generating CI/CD pipelines tailored for fog system verification at deployment time.
